"filename", "language", "Properties", "Ignore", "JavaScript", "JSON", "Markdown", "HTML", "Pug", "Vue", "CSS", "Stylus", "comment", "blank", "total"
"c:\Users\sssss\Desktop\theEyes\eyeServer\app.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 21, 11, 72
"c:\Users\sssss\Desktop\theEyes\eyeServer\brand-predict\.cache\17\ca381bf4190de45f65d3e2c2a620c0.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\eyeServer\brand-predict\.cache\1a\fbffac8ff9e3abfd8e3b0fe7e6de05.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\eyeServer\brand-predict\.cache\1d\b759fe4d7e423d7e41b694a90a2d9d.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\eyeServer\brand-predict\.cache\38\36aa0d7680501a09abc8c1d20edd13.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\eyeServer\brand-predict\.cache\41\6d178110eab04cf87de2137f43f5a6.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\eyeServer\brand-predict\.cache\45\28c8d5b791717322c870fd1d1fa2b2.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\eyeServer\brand-predict\.cache\4c\166e39ddd4b79c784b09610f9f2a00.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\eyeServer\brand-predict\.cache\54\2097ce917e10b46d7bc2b8fa026d62.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\eyeServer\brand-predict\.cache\5b\18a8bea38f25296ca0fef98137ff83.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\eyeServer\brand-predict\.cache\87\7aefec4f2d99171bfc41ab341f9bac.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\eyeServer\brand-predict\.cache\98\43a89b4cc536414a5d51032f48f6d9.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\eyeServer\brand-predict\.cache\a6\3b03935736a1e0b24aed39967b1286.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\eyeServer\brand-predict\.cache\d9\701d0f8d68845c81005417f2e32429.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\eyeServer\brand-predict\.cache\eb\de3517b05cc72ec0da197e395483a3.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\eyeServer\brand-predict\.cache\f1\010b0a7c28e362a646d9013e6c13f8.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\eyeServer\brand-predict\dist\index.html", "HTML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\sssss\Desktop\theEyes\eyeServer\brand-predict\dist\script.75da7f30.js", "JavaScript", 0, 0, 33739, 0, 0, 0, 0, 0, 0, 0, 260, 3855, 37854
"c:\Users\sssss\Desktop\theEyes\eyeServer\brand-predict\index.html", "HTML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\sssss\Desktop\theEyes\eyeServer\brand-predict\model.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\eyeServer\brand-predict\script.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 8, 40
"c:\Users\sssss\Desktop\theEyes\eyeServer\brand-predict\utils.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 2, 30
"c:\Users\sssss\Desktop\theEyes\eyeServer\package-lock.json", "JSON", 0, 0, 0, 4750, 0, 0, 0, 0, 0, 0, 0, 1, 4751
"c:\Users\sssss\Desktop\theEyes\eyeServer\package.json", "JSON", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\sssss\Desktop\theEyes\eyeServer\public\stylesheets\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\Users\sssss\Desktop\theEyes\eyeServer\routes\index.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 20, 6, 46
"c:\Users\sssss\Desktop\theEyes\eyeServer\routes\users.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\sssss\Desktop\theEyes\eyeServer\views\error.pug", "Pug", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\sssss\Desktop\theEyes\eyeServer\views\index.pug", "Pug", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\sssss\Desktop\theEyes\eyeServer\views\layout.pug", "Pug", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\sssss\Desktop\theEyes\the-eye\.editorconfig", "Properties", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\sssss\Desktop\theEyes\the-eye\.eslintignore", "Ignore", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\sssss\Desktop\theEyes\the-eye\.eslintrc.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 8, 2, 30
"c:\Users\sssss\Desktop\theEyes\the-eye\.postcssrc.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 2, 11
"c:\Users\sssss\Desktop\theEyes\the-eye\README.md", "Markdown", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 8, 22
"c:\Users\sssss\Desktop\theEyes\the-eye\build\build.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"c:\Users\sssss\Desktop\theEyes\the-eye\build\check-versions.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 10, 55
"c:\Users\sssss\Desktop\theEyes\the-eye\build\utils.js", "JavaScript", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 5, 17, 102
